서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율
음식점,8466933897,273671,64,36,0,11,18
음식점,362971950,17919,68,32,0,11,21
음식점,165879127,3816,61,39,0,16,24
음식점,138237410,7856,61,39,1,16,25
제과/음료,286257390,33397,43,57,1,16,21
음식점,175420880,9745,55,45,1,12,18
음식점,269571756,14369,63,37,1,17,17
음식점,393573941,41478,53,47,0,15,19
호프-간이주점,615790753,20666,72,29,0,16,12
제과/음료,752582462,112549,48,52,1,30,24
학원,196011476,787,46,54,0,0,1
학원,252381905,669,42,58,2,1,21
학원,222050044,960,27,73,0,0,25
스포츠,173234510,659,37,63,0,8,42
의원,2733501157,123681,51,50,0,9,14
의원,1773135548,14359,56,44,0,6,13
의원,619987384,20919,48,52,0,2,8
여가,90186187,5432,81,19,0,5,17
스포츠,121387069,2925,75,25,0,0,8
여가,26280418,7268,89,11,1,63,15
스포츠,171784392,1336,39,61,0,30,24
미용,472259134,15412,40,60,1,13,24
미용,38593528,244,1,99,0,2,72
미용,22328539,123,0,100,0,6,5
생활,386093248,21173,30,70,0,9,18
생활,222500052,5353,100,0,0,0,36
여가,144836038,1270,93,7,0,4,5
마트/편의점,4709625056,351375,47,53,0,10,16
마트/편의점,3115100063,475541,67,33,1,23,28
생활,350261013,1440,100,0,0,0,0
생활,1760287743,9356,32,68,0,19,18
농수산물,1045875350,40284,41,59,0,4,9
농수산물,111860400,6329,32,68,0,3,5
농수산물,446340356,26015,42,58,0,7,16
음식점,797920536,12448,21,79,0,5,9
의류/신발,24713792,1005,37,63,0,3,11
생활,209956142,2675,44,56,1,14,18
의원,4296971213,304868,52,48,0,7,13
의원,1476433584,2179,94,6,0,1,3
서적/문구,165309075,1156,29,71,0,7,32
서적/문구,465725527,2419,35,65,0,1,2
미용,4028630938,22193,32,68,0,4,17
스포츠,7572002,175,79,21,0,15,48
생활,1343708572,3895,50,50,0,7,10
생활,1657077152,9498,47,53,0,1,13
생활,117165013,2240,55,45,0,5,8
생활,650649318,850,31,69,0,3,0
음식점,10277983088,388639,63,37,0,15,18
음식점,315117780,14954,67,33,0,13,21
음식점,290689534,10047,56,45,1,34,18
음식점,204756102,12388,59,41,2,23,22
제과/음료,975201961,106241,45,55,1,18,21
음식점,321024257,27998,53,47,2,29,18
음식점,577308291,32138,62,38,1,22,17
음식점,1135001048,88174,54,46,1,23,24
호프-간이주점,766081158,21839,68,32,1,28,13
제과/음료,1312761273,171106,43,57,2,44,18
학원,532663359,1499,57,43,0,0,3
학원,376143742,1432,53,47,1,1,16
학원,198702427,1087,42,58,4,15,17
스포츠,56094758,288,44,56,0,3,14
의원,2774580021,127205,43,57,0,7,14
의원,1836759598,15061,52,48,0,5,14
의원,436438086,13106,38,62,0,5,13
여가,26070124,2037,96,4,1,12,7
스포츠,43119839,1156,96,4,0,1,4
여가,617246957,127973,91,9,2,71,18
스포츠,5746568,10,40,60,0,100,0
미용,573263292,19936,42,58,1,15,22
미용,15511973,95,0,100,0,0,0
미용,39406097,156,9,91,0,23,17
생활,365471214,20187,30,70,0,9,18
생활,222500052,5353,100,0,0,0,36
여가,181712833,3392,90,10,2,12,9
마트/편의점,3114506702,218872,51,49,0,12,18
마트/편의점,3120408608,482249,71,30,1,32,26
생활,199827334,2039,5,96,0,0,28
농수산물,1712989474,52958,40,60,0,4,13
농수산물,186465617,9371,39,61,0,6,8
농수산물,544803498,31600,38,62,0,6,14
의류/신발,720879500,8818,21,79,0,4,7
의류/신발,25463598,1030,39,61,0,4,11
생활,231089453,3042,49,51,1,18,14
생활,119207807,397,22,78,0,2,1
의원,1863352871,161215,53,47,0,6,14
의원,84095208,366,70,30,0,1,1
서적/문구,382393846,4881,19,81,1,4,7
미용,4389944520,22691,30,70,0,4,17
생활,1343708572,3895,50,50,0,7,10
생활,126912958,6745,69,32,0,7,16
생활,267084279,5639,63,37,0,4,5
생활,8549890,444,70,31,0,0,62
음식점,2836158381,143381,62,39,1,24,18
음식점,136115567,6742,59,41,1,23,16
음식점,180787511,5717,55,45,1,33,20
음식점,131341531,4520,54,46,2,32,17
제과/음료,512546802,53869,46,54,1,23,21
음식점,649196808,54379,53,47,2,35,19
음식점,327756972,16700,60,40,2,24,14
음식점,353053630,26461,44,56,1,23,18
호프-간이주점,337792993,9058,61,39,3,59,14
제과/음료,993503235,135511,40,60,2,50,17
학원,41912701,206,9,91,0,0,0
학원,135688892,816,40,60,6,22,13
스포츠,67457300,351,27,73,0,0,34
의원,289118552,23844,49,52,0,12,10
의원,705380617,5359,55,45,0,7,15
여가,62225810,3698,91,9,1,12,5
여가,187369657,38847,85,15,3,70,11
미용,87073189,3576,39,61,0,16,10
미용,3734891,30,0,100,0,0,0
미용,7077558,21,50,50,0,46,0
여가,51240362,4133,80,20,9,36,20
마트/편의점,192891096,33406,79,21,9,28,28
마트/편의점,1146501943,226870,68,32,2,41,21
생활,187292,268,0,100,0,100,0
농수산물,58817016,2331,52,48,0,3,16
농수산물,40104344,887,63,37,0,21,18
의류/신발,14936838,151,0,100,0,10,14
생활,127776433,1564,57,43,1,16,12
서적/문구,209267490,6816,38,62,2,15,9
미용,37024509,1519,18,83,0,43,3
생활,49335170,1803,49,51,0,9,26
생활,115261323,215,99,1,0,0,55
음식점,11485596611,372924,62,38,0,12,18
음식점,347445482,18143,66,34,1,12,20
음식점,218667521,4867,60,40,0,17,23
음식점,158093427,8763,59,41,1,17,26
제과/음료,267834233,31624,43,57,1,16,22
음식점,154600947,9126,54,46,0,11,19
음식점,322128422,15642,61,39,1,14,20
음식점,497547727,49046,53,47,1,20,20
호프-간이주점,731797806,23838,70,31,1,19,14
제과/음료,860898501,127053,44,56,2,31,21
학원,275655887,1051,45,55,0,0,2
학원,265131632,773,39,61,2,0,16
학원,231157429,1162,30,70,0,2,24
스포츠,209783188,767,41,59,0,11,29
의원,2940507217,138467,45,55,0,8,16
의원,1717458667,14312,49,51,1,7,11
의원,499849408,20299,38,62,1,3,16
여가,103522218,5265,67,33,0,4,13
스포츠,148031167,2914,77,23,0,1,7
여가,29380986,7466,86,14,2,53,18
스포츠,237413930,1943,42,58,0,48,28
미용,518562867,15795,47,53,0,12,23
미용,56849061,554,1,100,0,0,42
미용,45058797,333,70,30,0,0,37
생활,483868731,25785,42,58,0,9,18
생활,313891395,5568,27,73,0,2,7
여가,136840194,1603,79,21,0,4,7
마트/편의점,4447040389,352088,46,54,0,9,15
마트/편의점,3331766538,541292,68,32,1,24,26
생활,365915864,2909,71,29,0,0,9
생활,102210809,2872,85,15,0,4,5
농수산물,873636129,36530,43,57,0,4,11
농수산물,111150039,6046,34,66,0,3,7
농수산물,403316612,25363,41,59,0,7,13
의류/신발,1046526271,23380,14,86,0,7,7
의류/신발,45175611,1586,24,76,0,2,5
생활,243327693,2770,45,55,1,12,18
생활,99390876,357,23,77,0,0,8
의원,4841636337,350803,50,50,0,7,14
의원,1574387186,2342,93,7,0,2,2
서적/문구,115379202,1035,21,79,0,4,19
서적/문구,362470795,2042,83,17,0,1,1
미용,4760424435,25317,30,70,0,3,16
스포츠,39568005,368,84,16,0,9,38
생활,1673580158,3751,57,43,0,5,24
생활,920134143,10234,82,18,0,2,28
생활,134861116,2577,61,40,0,2,7
생활,579472232,789,40,60,0,12,1
음식점,12821188509,481653,61,39,1,16,18
음식점,303045430,15365,67,33,1,15,19
음식점,324125977,12019,55,45,1,34,19
음식점,239433956,13863,59,41,1,24,20
제과/음료,968757984,108561,44,57,1,19,21
음식점,342247749,31066,53,47,1,31,17
음식점,667882826,33951,61,39,1,20,19
음식점,1251647863,95015,54,46,1,25,22
호프-간이주점,990205305,27774,62,38,2,34,16
제과/음료,1887160327,246854,38,62,2,46,21
학원,718401124,2268,54,46,0,0,2
학원,473514437,1733,54,46,1,0,17
학원,199913923,1337,22,78,7,16,15
스포츠,61213582,231,48,52,0,2,34
의원,3457739131,164936,48,52,0,8,15
의원,1970652571,15480,53,47,0,7,10
의원,373370131,12196,44,56,1,3,9
여가,29666014,2251,95,5,1,14,2
스포츠,77579427,1368,90,10,0,0,5
여가,585938105,132686,91,9,2,64,28
스포츠,7125744,33,68,32,0,46,54
미용,689209317,22767,47,53,1,18,20
미용,13466315,87,2,99,0,5,12
미용,60962526,421,67,33,0,7,29
생활,459985283,24908,42,58,0,10,17
생활,313891395,5568,27,73,0,2,7
여가,292896802,16267,77,23,3,23,9
마트/편의점,2898230082,218223,49,51,0,11,18
마트/편의점,3261923175,540735,69,31,1,31,24
생활,65294556,509,100,0,0,0,9
생활,207772725,4301,91,9,0,50,3
농수산물,1438188400,49224,42,58,0,3,11
농수산물,174078775,8455,41,59,0,6,11
농수산물,459088102,29013,39,61,0,6,12
의류/신발,837691647,13213,14,86,0,4,4
의류/신발,45175611,1586,24,76,0,2,5
생활,235415849,2835,50,50,1,13,18
생활,92913960,382,21,79,0,0,9
의원,1971066352,190982,49,51,0,8,15
의원,115279008,397,61,39,0,0,3
서적/문구,259104718,5226,46,54,2,10,18
미용,5046373669,25132,29,71,0,3,16
생활,1673580158,3751,57,43,0,5,24
생활,172199271,9256,57,43,1,7,22
생활,308668648,6970,73,27,0,4,7
생활,15286167,740,93,7,0,25,33
생활,17979248,164,52,48,0,52,42
음식점,3934829596,190635,60,41,1,22,18
음식점,140255380,7600,57,44,3,25,17
음식점,199711527,7319,55,45,1,33,21
음식점,159684732,5483,54,46,2,30,19
제과/음료,519879294,56877,44,57,2,25,20
음식점,781271850,65058,52,48,3,33,20
음식점,359481354,17256,60,40,2,23,15
음식점,391312291,29455,45,55,2,22,16
호프-간이주점,553154185,15589,59,41,3,58,16
제과/음료,1653382624,226559,40,60,2,48,20
학원,40260969,232,29,71,0,0,0
학원,140723286,1008,20,80,10,22,16
스포츠,97885106,408,50,51,0,2,33
의원,415887480,29301,56,44,0,9,16
의원,804314861,5918,53,47,0,8,10
여가,88372377,4386,92,9,2,12,5
여가,175644355,37708,86,14,5,65,19
미용,105488229,4051,38,62,0,12,12
미용,5814209,30,0,100,0,12,25
미용,11493954,21,65,35,0,35,0
여가,125124132,17547,65,35,9,48,14
마트/편의점,200769336,56319,71,29,12,24,19
마트/편의점,1379878031,301882,66,34,4,41,19
생활,8561916,1339,53,47,0,22,0
농수산물,59595350,2397,50,50,0,3,16
농수산물,39606415,927,64,36,0,19,27
의류/신발,31042976,377,18,83,5,32,20
생활,120421762,1480,52,48,2,13,17
서적/문구,335165677,10338,43,57,3,24,10
미용,41342579,1171,15,85,0,48,4
생활,95103067,4196,58,43,2,9,24
생활,102753958,246,99,1,0,0,40
음식점,10094430144,370021,62,38,0,13,17
음식점,304827683,15854,67,33,1,13,18
음식점,218516659,6325,60,40,0,20,24
음식점,155204361,8531,58,42,1,18,25
제과/음료,258975212,30305,45,55,1,16,20
음식점,156123188,8730,49,51,1,13,19
음식점,270442905,14445,67,33,1,15,16
음식점,495161867,47182,54,46,1,21,20
호프-간이주점,533806577,18638,72,28,0,16,13
제과/음료,876245216,127430,45,55,1,31,21
학원,270322945,1005,60,40,0,0,1
학원,315393921,940,46,54,0,0,11
학원,225361153,1046,34,66,0,2,24
스포츠,234478092,637,29,71,0,22,36
의원,2895822777,134863,47,53,0,12,15
의원,2190359577,15443,57,43,0,6,13
의원,403950966,21360,49,51,2,7,14
여가,72505224,5077,97,3,1,4,16
스포츠,122864936,2562,64,36,0,2,8
여가,12685046,3348,87,13,1,72,4
스포츠,188919123,1586,26,74,0,39,27
미용,511292211,15514,43,57,1,16,23
미용,40628797,628,24,76,0,15,25
미용,61978149,568,68,32,0,0,40
