상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율
공릉동 국수거리,한식음식점,8466933897,273671,13,13,13,13,16,19,15,0,2,19,13,55,10,64,36,0,11,18
공릉동 국수거리,중식음식점,362971950,17919,13,16,16,14,14,16,11,0,0,46,17,36,1,68,32,0,11,21
공릉동 국수거리,일식음식점,165879127,3816,13,16,17,15,21,16,3,1,0,26,8,50,16,61,39,0,16,24
공릉동 국수거리,양식음식점,138237410,7856,15,15,17,14,12,13,14,0,1,47,18,33,1,61,39,1,16,25
공릉동 국수거리,제과점,286257390,33397,13,16,15,12,14,18,13,0,11,24,27,34,5,43,57,1,16,21
공릉동 국수거리,패스트푸드점,175420880,9745,10,13,11,11,17,20,18,0,2,20,19,50,9,55,45,1,12,18
공릉동 국수거리,치킨전문점,269571756,14369,8,13,14,13,17,20,15,2,1,6,10,57,26,63,37,1,17,17
공릉동 국수거리,분식전문점,393573941,41478,13,12,16,14,13,18,15,0,9,32,24,32,4,53,47,0,15,19
공릉동 국수거리,호프-간이주점,615790753,20666,12,17,20,15,15,16,5,1,0,4,2,46,46,72,29,0,16,12
공릉동 국수거리,커피-음료,752582462,112549,13,15,15,14,15,16,14,0,11,29,31,25,4,48,52,1,30,24
공릉동 국수거리,일반교습학원,196011476,787,31,32,20,6,8,3,0,0,2,12,29,50,6,46,54,0,0,1
공릉동 국수거리,외국어학원,252381905,669,22,20,16,18,17,6,2,0,13,15,38,33,1,42,58,2,1,21
공릉동 국수거리,예술학원,222050044,960,15,10,16,21,10,28,0,0,13,14,35,38,0,27,73,0,0,25
공릉동 국수거리,스포츠 강습,173234510,659,39,26,14,11,6,2,2,0,1,17,16,51,16,37,63,0,8,42
공릉동 국수거리,일반의원,2733501157,123681,19,19,16,13,17,15,0,0,21,37,30,12,0,51,50,0,9,14
공릉동 국수거리,치과의원,1773135548,14359,23,20,16,18,12,10,2,0,19,36,28,17,0,56,44,0,6,13
공릉동 국수거리,한의원,619987384,20919,20,18,15,12,15,16,3,0,10,33,32,25,0,48,52,0,2,8
공릉동 국수거리,당구장,90186187,5432,12,14,14,12,11,20,17,0,0,4,18,50,27,81,19,0,5,17
공릉동 국수거리,골프연습장,121387069,2925,27,16,14,6,9,12,16,2,3,8,22,36,28,75,25,0,0,8
공릉동 국수거리,PC방,26280418,7268,11,10,8,10,13,27,21,5,5,16,39,26,10,89,11,1,63,15
공릉동 국수거리,스포츠클럽,171784392,1336,24,16,29,10,5,10,5,0,13,20,7,52,8,39,61,0,30,24
공릉동 국수거리,자동차수리,519466798,4022,19,20,15,11,15,19,2,0,9,29,41,18,3,74,26,0,3,18
공릉동 국수거리,자동차미용,39422012,916,11,11,18,11,17,19,13,0,15,27,42,16,0,78,22,0,2,10
공릉동 국수거리,미용실,472259134,15412,10,9,13,12,17,21,18,0,2,24,35,38,1,40,60,1,13,24
공릉동 국수거리,네일숍,38593528,244,70,3,2,0,25,0,0,0,0,1,1,98,0,1,99,0,2,72
공릉동 국수거리,피부관리실,22328539,123,0,24,34,35,5,2,0,0,0,18,26,56,0,0,100,0,6,5
공릉동 국수거리,세탁소,386093248,21173,13,13,15,15,9,36,0,0,33,19,25,24,0,30,70,0,9,18
공릉동 국수거리,가전제품수리,222500052,5353,14,14,32,25,15,0,0,0,32,42,25,1,0,100,0,0,0,36
공릉동 국수거리,여관,467646197,10308,10,11,13,10,18,25,14,12,4,9,9,30,37,77,24,1,28,18
공릉동 국수거리,노래방,144836038,1270,22,12,17,14,15,12,10,7,0,0,0,48,45,93,7,0,4,5
공릉동 국수거리,슈퍼마켓,4709625056,351375,15,14,15,13,15,16,12,2,7,17,24,38,12,47,53,0,10,16
